เพศ,อายุ,สัญชาติ,เวลาที่ใช้บนหน้าจอ (ชั่วโมง/วัน),อุปกรณ์หลักที่ใช้,อาชีพ,ชอบดู Youtube หรือไม่
ชาย,36,ไทย,3,ไอแพด,วิศวกร,ไม่
หญิง,29,ไทย,8,คอม,พนักงานออฟฟิศ,ใช่
หญิง,24,อังกฤษ,5,มือถือ,เชฟ,ใช่
ชาย,20,ไทย,6,คอม,นักเรียน / นักศึกษา,ใช่
หญิง,20,ไทย,7,มือถือ,นักเรียน / นักศึกษา,ไม่
หญิง,25,ญี่ปุ่น,4,มือถือ,อินฟลูเอนเซอร์,ไม่
ชาย,26,สเปน,6,คอม,ฟรีแลนซ์,ใช่
ชาย,27,อเมริกัน,7,ไอแพด,ศิลปิน,ไม่
หญิง,28,อังกฤษ,8,คอม,อินฟลูเอนเซอร์,ใช่
ชาย,40,ไทย,4,มือถือ,หมอ,ไม่
ชาย,33,ไทย,2,มือถือ,วิศวกร,ไม่
ชาย,30,อเมริกัน,5,คอม,เชฟ,ใช่
หญิง,29,อังกฤษ,5,คอม,หมอ,ใช่
ชาย,20,ไทย,7,ไอแพด,นักเรียน / นักศึกษา,ใช่
หญิง,20,ไทย,4,มือถือ,นักเรียน / นักศึกษา,ไม่
หญิง,28,ญี่ปุ่น,6,ไอแพด,อินฟลูเอนเซอร์,ไม่
หญิง,27,สเปน,5,คอม,ฟรีแลนซ์,ใช่
ชาย,27,อังกฤษ,7,มือถือ,ศิลปิน,ไม่
หญิง,40,ไทย,5,คอม,เชฟ,ใช่
ชาย,28,ไทย,5,มือถือ,หมอ,ไม่
