เพศ,อายุ,สัญชาติ,อุปกรณ์หลักที่ใช้,ชอบดูคลิปยาวหรือไม่
ชาย,36,ไทย,แท็บเล็ต,ไม่
หญิง,29,ไทย,คอม,ใช่
หญิง,24,อังกฤษ,มือถือ,ใช่
ชาย,20,ไทย,คอม,ใช่
หญิง,20,ไทย,มือถือ,ไม่
หญิง,25,ญี่ปุ่น,มือถือ,ไม่
ชาย,26,สเปน,คอม,ใช่
ชาย,27,อเมริกัน,แท็บเล็ต,ไม่
หญิง,28,อังกฤษ,คอม,ใช่
ชาย,40,ไทย,มือถือ,ไม่
ชาย,33,ไทย,มือถือ,ไม่
ชาย,30,อเมริกัน,คอม,ใช่
หญิง,29,อังกฤษ,คอม,ใช่
ชาย,20,ไทย,แท็บเล็ต,ใช่
ชาย,20,ไทย,มือถือ,ไม่
หญิง,28,ญี่ปุ่น,แท็บเล็ต,ไม่
หญิง,27,สเปน,คอม,ใช่
ชาย,27,อังกฤษ,มือถือ,ไม่
หญิง,40,ไทย,คอม,ไม่
ชาย,28,ไทย,มือถือ,ไม่
